12 tsp = 60 mL,2 tbsp = 30 mL,.1 oz = 3g,Yes
3 gal = 11520 mL,1 oz = 437.5 gr,.25 qt = 240 mL,Yes
12 oz = 360 g,6 pt = 12 cups,.5 lb = 3500 gr,Yes
1.1 lb = .5 kg,3 qt = 6 pt,.5 pt = 240 mL,Yes
3 fl oz = 6 tbsp,3 tsp = 15 mL,1 gal = 3840 mL,Yes
2 cup = 480mL,7 fl oz = 14 tbsp,1 lb = 454 g,Yes
15.4 lb = 7 kg,4 fl oz = 8 tbsp,1 oz = 30 g,Yes
6.6 lb = 3 kg,2 lb = 3500 gr,2 cup = 16 fl oz,Yes
340 g = 3.4 hectograms,3 gal = 12 qt,2 cups = 480 mL,Yes
3 tsp = 15 mL,2 pt = 960 mL,2 oz = 875 g,Yes
1 gal = 3840 mL,120 g = .12 kilograms,2 tbsp = 30 mL,Yes
7 tbsp = 21 tsp,3 tsp = 15 mL,3 cup = 24 fl oz,Yes
2 pt = 960 mL,2 tbsp = 30 mL,3 cup = 720 mL,Yes
3 lb = 48 oz,2 pt = 960 mL,3 pt = 6 cups,Yes
4 gram = 400 centigrams,2 oz = 60 g,3 tbsp = 45 mL,Yes
4 qt = 3840 mL,.25 oz = 7.5 g,3 tsp = 15 mL,Yes
1 fl oz = 30 mL,6 tbsp = 18 tsp,3 tsp = 15 mL,Yes
5 tsp = 25 mL,4 qt = 3840 mL,4 oz = 120 g,Yes
8 fl oz = 240 mL,4 qt = 3840 mL,4 pt = 8 cups,Yes
17 qt = 34 pt,12 oz = 360 g,6 tsp = 180 mL,Yes
1 lb = 454 g,3 tbsp = 9 tsp,8 pt = 16 cups,Yes
1 lb = 7000 gr,3 g = 30 decigrams,.5 g = 500000000000 picograms,Yes
6 tsp = 30 mL,4 tbsp = 60 mL,,Yes
3 tbsp = 45 mL,.5 cup = 120 mL,,Yes
5 pt = 2400 mL,3 gr =  195 mg,,Yes
3 cup =  24 fl oz,3 lb = 48 oz,,Yes
3 lb = 21000 gr,2 lb = 908 g,,Yes
4 cup = 1920 mL,8.8 lb = 4 kg,,Yes
.5 gal = 1920 mL,8 fl oz = 240 mL,,Yes
1.5 fl oz = 3 tbsp,.25 cup = 60 mL,,Yes
3 tsp = 15 mL,3 cup = 24 fl oz,,Yes
2 lb = 32 oz,3 tsp = 15 mL,,Yes
.75 lb = 12 oz,1 gal = 3840 mL,,Yes
2 lb = 908 g,6 fl oz = 12 tbsp,,Yes
.25 lb = 113.5 g,4 tsp = 20 mL,,Yes
3 gr = 195 mg,3 lb = 1362 g,,Yes
.5 pt = 240 mL,2 tbsp = 30 mL,,Yes
1 lb = 7000 gr,2 pt = 960 mL,,Yes
.5 oz = 219 g,3 cup = 720 mL,,Yes
4 pt = 1920 mL,.33 tbsp = 1 tsp,,Yes
4.4 lb = 2 kg,.5 qt = 480mL,,Yes
2 gal = 8 qt,8 qt = 16 pt,,Yes
1 tbsp = 3 tsp,1 gal = 4 qt,,Yes
45000 g = 45 kilograms,1 gr = 65 mg,,Yes
3 tsp = 15 mL,.25 qt = 240 mL,,Yes
37 g = 370 decigrams,89 g = 0.89 hectograms,,Yes
.1 g = 100000 micrograms,.2 oz = 6 g,,Yes
56 g = 56000 milligrams,3 oz = 90 g,,Yes
.25 g = 2.5 decigrams,2 qt = 1920 mL,,Yes
2 fl oz = 15 mL,.075 g = 75 milligrams,,Yes
1 fl oz = 30 mL,3 cup = 24 fl oz,,Yes
54 g = 5.4e10,5 lb = 2.2 kg,,Yes
23 g = 2300 decigrams,6.6 lb = 3 kg,12 fl oz = 24 tbsp,No
.24 pt = 120 mL,8 tbsp = 90 mL,9 tbsp = 27 tsp,No
3 cup = 720 mL,3 gal = 1200 mL,4 pt = 12 cups,No
1 tsp = 5 mL,3 tbsp = 45 mL,1/2 pt = 240 mL,No
2 tbsp = 30 mL,7 pt = 16 cups,3 gr = 195 mg,No
12 g = 1200 micrograms,6 fl oz = 180 mL,2 qt = 1200 mL,No
6 tsp = 30 mL,63 g = .0063 kilograms,2 pt = 960 mL,No
3 g = 3000 milligram,.5 gal = 1920 mL,21 g = 2100 decigrams,No
2 tbsp = 45 mL,12 g = 1.2e13 picograms,23 g = .023 kilograms,No
1 cups = 240 mL,4 qt = 3840 mL,16 g = .16 centigrams,No
 60 g = 15 mL,.25 gal = 275 mL,4 pt = 1650 mL,No
2 lb = 908 g,2 pt = 240 mL,11 lb = 5 kg,No
3 cup = 720 mL,8 pt = 16 cups,3 lb = 45 oz,No
8 oz = 135 g,8 fl oz = 240 mL,5 g = .005 picograms,No
2 cups = 480 mL,650 g = 6.5e14 picograms,.5 gal = 8 qt,No
4 fl oz = 200 mL,2 lb = 14000 gr,6 tbsp = 90 mL,No
2 pt = 960 mL,2 pt = 8 cups,3 oz = 1312.5 gr,No
12 g = 12000000 decigrams,34 g = 3400 micrograms,2 cups = 480 mL,No
23 g = .0023 picograms,8 tsp =  40 mL,2 lb = 24 oz,No
3 oz = 90 g,3 oz = 1500 g,8 fl oz = 240 mL,No
16 g = .16 decigrams,1 pt = 340 ml, 8 tbsp = 24 tsp,No
7.2 g = 7200 milligrams,7 lbs = 2600 g,12 fl oz = 642 mL,No
4 pt = 8 cups,5 gal = 40 qt,1 lb = 7000 gr,No
3 cup = 560 mL,2 gal = 8 qt,.25 lb = 64 g,No
12 gr = 565 mg,1/2 lb = 227 g,32 g = 3.2e10 nanograms,No
3 cup = 24 fl oz,4 oz = 1800 gr,6 tbsp = 18 tsp,No
2 qt = 1250 mL,7 pt = 14 cups,6 tsp = 40 mL,No
4 fl oz = 120 mL,4 pt = 8 cups,4 tbsp = 75 mL,No
1 oz = 437.5 gr,3 oz = 130 g,2 gal = 7680 mL,No
6 fl oz = 10 tbsp,3 lb = 1362 g,,No
12 qt = 30 pt,2 lb = 20000 gr,,No
3 lb = 40 oz,8 tsp = 40 mL,,No
23 g = 2300 hectograms,2 pt = 960 mL,,No
6 fl oz = 12 tbsp,8 qt = 20 pt,,No
 2 lb = 454 g,1/2 pt = 240 mL,,No
4 lb = 21000 gr,9 fl oz = 18 tbsp,,No
3 pt = 1440 mL, 3 tbsp = 9 tsp,,No
4 lb = 64 oz,2 tbsp = 40 mL,,No
4 qt = 3840 mL,2 lb = 900 g,,No
2 gal = 7600 mL,34 g = .0034 decigram,,No
2 g = 2e12 hectogram,1 gal = 3840 mL,,No
4 oz = 200 g,4 tsp = 20 mL,,No
3 gr = 195 mg,45 g = 4.5 hectograms,,No
